@relation bookkeeper_Train_R2-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.StringToNominal-R1

@attribute className {null}
@attribute loc numeric
@attribute wmc numeric
@attribute assignmentsQty numeric
@attribute mathOperationsQty numeric
@attribute qtyTryCatch numeric
@attribute qtyReturn numeric
@attribute fanin numeric
@attribute fanout numeric
@attribute age numeric
@attribute nAuth numeric
@attribute nr numeric
@attribute nSmell numeric
@attribute buggy {false}

@data
null,46,9,12,7,1,0,1,3,4,2,8,1,false
null,3,1,0,0,0,1,2,0,4,1,2,0,false
null,3,1,0,0,0,0,1,0,4,1,3,0,false
null,21,4,3,1,1,0,2,9,4,2,6,2,false
null,22,1,0,0,0,0,0,1,8,1,1,1,false
null,22,3,1,0,0,2,0,5,4,2,3,1,false
null,3,1,0,0,0,1,1,0,4,1,2,0,false
null,7,2,2,1,0,1,3,0,4,1,1,0,false
null,3,1,0,3,0,1,2,0,4,1,2,0,false
null,3,1,0,0,0,1,0,0,4,2,3,0,false
null,3,1,0,0,0,1,2,0,4,1,2,0,false
null,10,3,0,0,0,0,1,0,4,2,5,1,false
null,3,1,0,0,0,1,0,0,4,2,3,0,false
null,3,1,0,0,0,0,1,1,4,2,8,0,false
null,8,1,1,0,0,1,0,0,4,2,3,0,false
null,3,1,0,0,0,0,1,0,4,2,4,0,false
null,6,1,1,0,0,0,2,1,4,2,2,0,false
null,1,1,0,0,0,0,1,0,4,2,3,0,false
null,1,1,0,0,0,0,3,0,4,1,1,0,false
null,5,1,0,0,0,1,1,1,4,2,2,0,false
null,16,3,3,0,1,0,0,5,4,2,4,1,false
null,12,4,0,0,0,4,0,0,4,2,2,0,false
null,11,2,3,4,0,0,1,0,4,2,3,0,false
null,8,3,1,3,0,2,1,1,4,2,2,0,false
null,3,1,0,0,0,0,0,1,4,1,2,0,false
null,3,1,0,0,0,1,8,0,4,2,2,0,false
null,16,5,2,1,0,0,3,3,4,1,3,6,false
null,9,2,2,0,0,0,0,0,4,2,8,0,false
null,5,2,0,1,0,0,4,0,4,2,3,0,false
