@relation bookkeeper_Train_R3-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.StringToNominal-R1

@attribute className {null,HedwigConsole,HedwigConsole$ConsoleHandler}
@attribute loc numeric
@attribute wmc numeric
@attribute assignmentsQty numeric
@attribute mathOperationsQty numeric
@attribute qtyTryCatch numeric
@attribute qtyReturn numeric
@attribute fanin numeric
@attribute fanout numeric
@attribute age numeric
@attribute nAuth numeric
@attribute nr numeric
@attribute nSmell numeric
@attribute buggy {false}

@data
null,3,1,0,0,0,1,0,0,196,1,1,0,false
null,16,3,3,0,1,0,0,5,4,2,4,1,false
null,2,1,0,0,0,0,0,0,204,3,4,0,false
null,11,2,3,4,0,0,1,0,4,2,3,0,false
null,2,1,0,0,0,0,0,0,196,1,3,0,false
null,3,1,0,0,0,0,0,1,4,1,2,0,false
null,3,1,0,0,0,1,8,0,4,2,2,0,false
null,16,5,2,1,0,0,3,6,4,1,3,6,false
null,8,2,2,0,0,1,2,0,196,1,1,0,false
null,5,2,0,0,0,0,0,0,84,1,1,0,false
null,16,3,2,0,1,1,1,1,4,2,5,0,false
null,27,6,5,3,0,1,1,2,4,3,8,0,false
null,3,1,0,1,0,1,0,0,4,3,8,0,false
null,3,1,0,0,0,1,2,0,196,1,2,0,false
null,1,1,0,0,0,0,0,0,196,1,2,0,false
null,20,3,4,3,1,1,1,6,4,2,6,0,false
null,3,1,0,0,0,1,1,0,4,2,4,0,false
null,15,3,3,3,1,2,0,2,0,1,1,2,false
null,10,3,3,0,0,1,1,5,196,1,1,2,false
null,3,1,0,0,0,0,0,1,4,1,2,0,false
null,3,1,1,0,0,0,1,0,4,2,3,0,false
null,25,1,4,2,0,0,0,2,196,3,10,6,false
null,3,1,0,0,0,0,0,0,196,1,3,1,false
null,78,17,17,10,2,1,0,1,4,3,10,5,false
null,17,9,2,2,0,1,2,1,4,2,3,0,false
null,7,2,1,0,0,0,1,0,96,3,6,0,false
null,3,1,0,0,0,1,15,1,196,1,1,0,false
null,13,2,1,0,1,1,1,3,196,1,2,1,false
null,3,1,0,0,0,1,0,0,4,2,3,0,false
null,3,1,0,0,0,1,1,0,4,2,2,1,false
null,18,3,4,1,0,1,1,9,196,1,2,0,false
null,26,8,6,12,0,1,1,0,84,3,6,4,false
null,4,1,0,0,0,0,2,2,4,2,5,0,false
null,35,11,4,1,1,0,2,1,196,1,4,0,false
null,3,1,0,0,0,1,0,0,226,1,1,0,false
null,3,1,0,0,0,1,0,1,132,1,1,1,false
null,4,1,0,0,0,1,0,1,196,1,2,0,false
null,22,5,4,0,0,1,2,0,196,1,4,4,false
null,30,5,7,1,0,0,4,6,4,1,3,3,false
null,10,2,5,0,0,0,1,0,196,3,12,0,false
null,3,1,0,1,0,1,0,1,84,3,6,0,false
null,4,1,0,0,0,0,1,1,196,1,2,0,false
null,18,9,3,3,0,0,0,0,196,1,1,3,false
null,10,3,3,0,0,1,1,5,196,1,1,2,false
null,10,3,0,0,0,2,3,1,4,1,2,0,false
null,10,3,0,0,0,3,3,3,4,2,2,0,false
null,46,1,0,0,0,0,1,0,196,1,3,1,false
null,4,1,0,0,0,1,0,0,225,2,3,0,false
null,3,1,0,0,0,1,0,1,4,1,3,0,false
null,9,3,1,2,0,2,3,0,196,1,3,1,false
null,3,1,0,0,0,1,0,1,196,1,1,0,false
null,5,1,2,0,0,1,6,0,196,1,1,0,false
null,29,2,1,0,0,0,1,1,268,2,4,2,false
null,4,1,1,0,0,0,1,0,0,2,3,0,false
null,11,2,2,1,1,1,1,0,204,2,4,0,false
null,3,1,0,0,0,0,0,1,196,1,1,0,false
null,3,1,0,0,0,1,2,1,196,1,1,0,false
null,5,2,0,1,0,0,0,2,196,1,1,0,false
null,6,2,0,0,0,2,0,0,56,1,2,0,false
null,22,6,2,2,2,0,0,5,204,2,4,2,false
null,3,1,0,0,0,1,2,0,84,3,6,0,false
null,3,1,1,0,0,0,1,0,4,3,6,0,false
null,21,4,1,3,1,2,1,2,96,3,6,0,false
null,3,1,0,0,0,1,3,0,4,2,2,0,false
null,3,1,0,0,0,0,1,1,4,2,3,0,false
null,4,5,0,0,0,2,9,1,196,1,4,0,false
null,8,2,2,0,0,1,4,0,196,1,1,0,false
null,3,1,0,0,0,0,0,0,4,1,3,0,false
null,3,1,0,0,0,1,0,0,196,1,1,0,false
null,3,1,0,0,0,1,2,1,196,1,2,2,false
null,3,1,0,0,0,0,0,36,0,1,1,0,false
null,7,3,1,1,0,2,1,0,4,2,3,2,false
null,31,8,3,2,1,0,0,7,4,2,4,1,false
null,3,1,0,0,0,1,1,0,0,2,2,0,false
null,40,7,13,8,1,1,1,1,196,3,12,9,false
null,4,1,1,6,0,1,2,2,196,1,1,0,false
