@relation openjpa_Train_R2-weka.filters.unsupervised.attribute.Remove-R2-3-weka.filters.unsupervised.attribute.StringToNominal-R1

@attribute release {0.9.0}
@attribute loc numeric
@attribute wmc numeric
@attribute assignmentsQty numeric
@attribute mathOperationsQty numeric
@attribute qtyTryCatch numeric
@attribute qtyReturn numeric
@attribute fanin numeric
@attribute fanout numeric
@attribute age numeric
@attribute nAuth numeric
@attribute nr numeric
@attribute nSmell numeric
@attribute buggy {false}

@data
0.9.0,23,13,11,0,0,0,1,8,37,1,2,2,false
0.9.0,3,1,1,0,0,0,0,0,0,1,8,0,false
0.9.0,3,2,0,0,0,1,0,1,0,1,5,1,false
0.9.0,4,1,0,0,0,0,0,1,45,4,9,0,false
0.9.0,3,1,0,0,0,1,0,0,0,1,4,0,false
0.9.0,3,1,0,0,0,1,0,0,37,1,2,0,false
0.9.0,4,2,0,0,0,2,0,1,45,3,8,0,false
0.9.0,3,1,0,0,0,1,3,0,45,2,4,0,false
0.9.0,3,4,0,0,0,0,1,2,45,3,11,0,false
0.9.0,9,4,1,0,1,0,0,3,45,3,11,0,false
0.9.0,10,3,1,0,1,0,2,1,45,2,9,1,false
0.9.0,3,1,0,0,0,1,0,0,0,1,4,0,false
0.9.0,4,1,0,0,0,0,2,2,45,3,8,0,false
0.9.0,4,3,1,0,0,2,1,0,0,1,8,0,false
0.9.0,3,2,0,0,0,1,3,1,0,1,5,0,false
0.9.0,7,3,2,0,0,2,0,0,0,2,12,0,false
0.9.0,3,1,0,0,0,1,0,0,45,2,7,0,false
0.9.0,3,1,1,0,0,0,1,0,45,1,4,0,false
0.9.0,3,1,0,0,0,0,0,1,45,3,10,0,false
0.9.0,3,1,0,0,0,0,0,0,45,2,4,0,false
0.9.0,13,5,0,0,1,1,0,4,45,3,11,0,false
0.9.0,3,1,0,0,0,1,0,1,37,3,6,0,false
0.9.0,5,2,0,0,0,2,0,3,45,2,4,1,false
0.9.0,3,1,0,0,0,1,0,0,37,2,4,0,false
0.9.0,6,1,1,0,0,0,0,1,0,1,6,0,false
