@relation openjpa_Train_R3-weka.filters.unsupervised.attribute.Remove-R2-3-weka.filters.unsupervised.attribute.StringToNominal-R1

@attribute release {0.9.6,0.9.0}
@attribute loc numeric
@attribute wmc numeric
@attribute assignmentsQty numeric
@attribute mathOperationsQty numeric
@attribute qtyTryCatch numeric
@attribute qtyReturn numeric
@attribute fanin numeric
@attribute fanout numeric
@attribute age numeric
@attribute nAuth numeric
@attribute nr numeric
@attribute nSmell numeric
@attribute buggy {false,true}

@data
0.9.6,3,1,1,0,0,0,0,0,185,4,13,0,true
0.9.0,3,1,0,0,0,1,0,1,45,3,13,0,false
0.9.0,3,1,0,0,0,1,0,0,37,2,4,0,false
0.9.0,3,1,0,0,0,1,0,0,45,2,7,0,false
0.9.6,6,4,3,1,0,1,2,0,185,3,9,0,false
0.9.6,3,1,0,0,0,1,0,0,185,2,4,0,false
0.9.0,1,1,0,0,0,0,6,0,0,1,6,0,false
0.9.6,5,1,0,0,0,0,0,2,185,3,10,0,false
0.9.6,16,10,2,2,0,10,0,3,185,4,13,5,true
0.9.0,5,2,1,0,0,2,9,3,45,3,8,2,false
0.9.6,1,1,0,0,0,0,0,0,168,1,1,0,false
0.9.6,3,1,0,0,0,1,0,0,185,2,5,0,false
0.9.6,3,1,0,0,0,1,0,0,168,1,2,0,false
0.9.0,7,3,3,0,0,2,2,2,37,3,6,0,false
0.9.0,9,1,1,0,1,1,1,0,45,1,4,0,false
0.9.0,3,1,0,0,0,1,0,1,37,2,4,0,false
0.9.6,1,1,0,0,0,0,0,0,185,2,5,0,false
0.9.6,4,2,1,0,0,0,0,1,168,3,3,0,false
0.9.0,3,1,0,0,0,1,1,1,45,2,10,0,false
0.9.0,3,1,0,0,0,1,2,1,45,2,4,0,false
0.9.6,3,1,0,2,0,1,0,0,20,1,1,0,false
0.9.0,1,1,0,0,0,0,1,0,45,2,7,0,false
0.9.0,3,1,0,0,0,1,0,0,0,1,4,0,false
0.9.6,3,1,0,0,0,1,0,1,185,2,3,0,true
0.9.0,4,1,0,0,0,0,0,1,37,3,6,0,false
0.9.0,3,1,0,0,0,1,0,0,45,1,5,0,false
0.9.0,3,1,0,0,0,1,0,0,45,2,4,0,false
0.9.0,3,3,0,0,0,1,0,0,45,3,13,0,false
0.9.6,2,1,0,0,0,0,0,0,185,1,1,0,false
0.9.0,8,5,1,0,0,1,3,2,37,1,2,1,false
0.9.0,3,1,0,0,0,0,0,3,45,2,7,0,false
0.9.0,13,4,5,1,0,4,0,0,45,3,11,6,false
0.9.0,1,1,0,0,0,0,1,0,37,2,2,0,false
0.9.0,3,1,0,0,0,1,0,0,45,2,8,0,false
0.9.0,3,2,0,0,0,0,0,0,37,2,3,0,false
0.9.6,6,6,4,0,0,0,0,1,168,3,5,2,false
