Classifier,feature selection,sampling,cost sensitive,feature selection id,precision,recall,auc,kappa
sgd,true,false,false,FS_R6_1,NaN,0.0,0.5,0.0
sgd,true,false,false,FS_R7_1,NaN,0.0,0.5,0.0
sgd,true,false,true,FS_R4_1,0.35614385614385613,0.6099230111206159,0.7108189405588472,0.32547625405662883
sgd,true,false,true,FS_R5_1,NaN,0.0,0.5,0.0
sgd,true,false,true,FS_R6_1,NaN,0.0,0.5,0.0
sgd,true,false,true,FS_R4_1,0.3048312506149759,0.6625320786997434,0.7022673539861557,0.27213298291222726
sgd,true,false,false,FS_R8_1,NaN,0.0,0.5,0.0
sgd,true,false,true,FS_R7_1,NaN,0.0,0.5,0.0
sgd,true,false,true,FS_R5_1,0.3864664549042256,0.6525272224930928,0.7214763422257008,0.3475274370756524
sgd,true,false,true,FS_R8_1,NaN,0.0,0.5,0.0
sgd,true,false,true,FS_R6_1,0.34968017057569295,0.6055384615384616,0.697952230941062,0.3050713703499111
sgd,true,false,true,FS_R5_1,0.37064137308039746,0.6668291890134893,0.7188785255911138,0.33195433848554984
sgd,true,false,true,FS_R6_1,0.36702811983091344,0.6144615384615385,0.7085996907039349,0.3273872615201565
sgd,true,false,true,FS_R7_1,0.4040624475407084,0.5803496081977094,0.6945879546952628,0.3327936462370808
sgd,true,false,false,FS_R9_1,NaN,0.0,0.5,0.0
sgd,true,false,true,FS_R7_1,0.41874534623976173,0.5423749246534056,0.6871114236611491,0.3357317657382405
sgd,true,false,true,FS_R8_1,0.48343922066920797,0.4906292984869326,0.6655459236070693,0.3293878097608039
sgd,true,false,true,FS_R8_1,0.4504971590909091,0.545306052269601,0.6714443298001329,0.319499876895947
sgd,true,false,true,FS_R9_1,NaN,0.0,0.5,0.0
sgd,true,false,false,FS_R10_1,NaN,0.0,0.5,0.0
sgd,true,false,false,FS_R11_1,0.40625,0.03683997455323579,0.508772718769613,0.024772335466446027
sgd,true,false,true,FS_R10_1,NaN,0.0,0.5,0.0
sgd,true,false,true,FS_R9_1,0.44489973303532626,0.5573617484638719,0.6636308189008502,0.3017431344606144
sgd,true,false,false,FS_R12_1,0.7382331643736423,0.29412896090782326,0.6267858716281823,0.31068100617285804
sgd,true,false,true,FS_R11_1,0.40625,0.03683997455323579,0.508772718769613,0.024772335466446027
sgd,true,false,true,FS_R9_1,0.5179241168774531,0.4618495761064012,0.6598050412894257,0.3316221340960975
sgd,true,false,true,FS_R10_1,0.4276598830183207,0.6088362810542977,0.6731542824340224,0.30282986878985896
sgd,true,false,true,FS_R12_1,0.7382331643736423,0.29412896090782326,0.6267858716281823,0.31068100617285804
sgd,true,false,true,FS_R10_1,0.4421825002758468,0.5515793820108733,0.6636943473247271,0.30206223321351033
sgd,true,false,true,FS_R11_1,0.5351528854435831,0.5749233705395871,0.6979835289239426,0.3867460463385617
sgd,true,false,true,FS_R11_1,0.5190283009755626,0.621537215892661,0.7075708130362749,0.3904041874840898
sgd,true,false,true,FS_R12_1,0.5798983364140481,0.6034043371640141,0.7167077781556794,0.4281129936205754
sgd,true,false,true,FS_R12_1,0.580598036977859,0.6115305092080588,0.7198733323901176,0.43270250820268896
rf,true,false,false,FS_R4_1,0.8717179294823706,0.24850299401197604,0.6804906604094928,0.34432469635589796
rf,true,false,true,FS_R4_1,0.5489470688673876,0.41253207869974334,0.6773257822654428,0.395390519162045
rf,true,false,false,FS_R5_1,0.886700597477318,0.6512270437185113,0.8584797362356467,0.7095465316981892
rf,true,false,false,FS_R6_1,0.9368160960112955,0.8166153846153846,0.964328267986095,0.8507835472778321
rf,true,false,false,FS_R7_1,0.9493071983778304,0.6772754671488849,0.8999097553152265,0.752988523983895
rf,true,false,true,FS_R4_1,0.4235541535226078,0.43071000855431996,0.6653075313002391,0.32831523317581085
rf,true,false,true,FS_R5_1,0.6701030927835051,0.7500406305867057,0.8376690954603812,0.6446657119588409
rf,true,false,true,FS_R6_1,0.6645597210113339,0.9381538461538461,0.9250022338049144,0.7280378777963046
rf,true,false,true,FS_R4_1,0.4298321136461472,0.4270744225834046,0.6651695513442878,0.3312201831060678
rf,true,false,false,FS_R8_1,0.8234391596837012,0.5998108665749656,0.8403845398992613,0.6191618156783387
rf,true,false,true,FS_R7_1,0.7370296147851259,0.7980711271850512,0.8672361074951617,0.7115865588551062
rf,true,false,true,FS_R5_1,0.5409684502484687,0.7607671054770031,0.8150846772206479,0.5422894789671275
rf,true,false,true,FS_R8_1,0.6233576642335766,0.734181568088033,0.7995921575625786,0.5642882051055461
rf,true,false,true,FS_R6_1,0.5496794871794872,0.9498461538461539,0.9024962483532848,0.6210205824946194
rf,true,false,true,FS_R5_1,0.5782178217821782,0.7593044043555989,0.823625372428342,0.5753796210093441
rf,true,false,true,FS_R6_1,0.5893318038428449,0.9484615384615385,0.9127152185119423,0.6614165270623923
rf,true,false,true,FS_R7_1,0.5918134805855026,0.8139843279083785,0.8442952685073544,0.6009797921946508
rf,true,false,false,FS_R9_1,0.9310006248326341,0.8112312359026211,0.9391144168700896,0.8269285974143762
rf,true,false,true,FS_R7_1,0.6319821567106284,0.7856540084388186,0.8417351600663626,0.6245020160166899
rf,true,false,true,FS_R8_1,0.5806429871267776,0.7406292984869326,0.7889238635908488,0.5273095916878147
rf,true,false,true,FS_R8_1,0.5739396764098809,0.7410591471801926,0.7868234280756154,0.5208891374569945
rf,true,false,true,FS_R9_1,0.739654067905189,0.8980322003577818,0.8967217902733398,0.7404029369413124
rf,true,false,false,FS_R10_1,0.8406730369754881,0.8355240520267015,0.9313969346977583,0.7861358959842767
rf,true,false,false,FS_R11_1,0.9349809368191722,0.7942282112081429,0.9115335874759224,0.8137376978522062
