release,method,path,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
1.0.1,getDefiningMetaData,openjpa-kernel/src/main/java/org/apache/openjpa/meta/AbstractCFMetaDataFactory.java,12,4,4,0,0,3,0,0,529,1,1,2,false
0.9.6,setBrokerFactory,openjpa-kernel/src/main/java/org/apache/openjpa/conf/OpenJPAConfiguration.java,1,1,0,0,0,0,0,0,185,2,5,0,false
0.9.0,setPrimaryKey,openjpa-kernel/src/main/java/org/apache/openjpa/meta/FieldMetaData.java,3,1,1,0,0,0,0,0,45,3,10,0,false
0.9.7,getClassLoaders,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/MultiClassLoader.java,11,3,6,0,0,1,0,1,243,2,2,1,false
1.2.1,getQueryCacheEnabled,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DelegatingFetchConfiguration.java,8,2,0,0,1,1,0,2,1022,1,3,1,false
0.9.7,fetchFloatField,openjpa-kernel/src/main/java/org/apache/openjpa/util/ApplicationIds.java,3,1,0,0,0,1,0,1,334,2,5,0,false
2.0.0-M2,initialize,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/PreparedQueryCache.java,1,1,0,0,0,0,0,0,169,1,3,0,false
0.9.0,persistAll,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/BrokerImpl.java,20,4,3,0,2,1,0,7,45,3,11,0,false
0.9.6,newMetaDataFactoryInstance,openjpa-kernel/src/main/java/org/apache/openjpa/conf/OpenJPAConfigurationImpl.java,3,1,0,0,0,1,0,0,185,3,10,0,false
0.9.6,assertSchemaAlias,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,5,2,1,0,0,1,2,1,185,3,9,2,false
0.9.6,getLock,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/OpenJPAStateManager.java,1,1,0,0,0,0,0,0,185,2,4,0,false
0.9.0,getDeclaringType,openjpa-kernel/src/main/java/org/apache/openjpa/meta/FieldMetaData.java,3,2,0,0,0,1,1,0,45,3,10,0,false
0.9.0,parserForLanguage,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/QueryLanguages.java,3,1,0,0,0,1,1,0,45,2,8,0,false
0.9.6,getTypeValue,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/JPQLExpressionBuilder.java,5,1,1,0,0,1,2,1,185,3,9,0,false
0.9.7,load,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ObjectIdStateManager.java,3,1,0,0,0,0,0,0,334,3,3,0,false
0.9.0,hasGrouping,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ExpressionStoreQuery.java,3,2,0,0,0,1,1,1,45,2,6,2,false
0.9.7,traverseJDBC,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCFetchConfigurationImpl.java,3,1,0,0,0,1,0,0,317,3,5,0,false
0.9.0,setImplicitType,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/StringFunction.java,2,1,0,0,0,0,0,0,37,2,4,0,false
0.9.0,isEmpty,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/InMemoryExpressionFactory.java,3,1,0,0,0,1,1,0,45,3,6,0,false
1.0.3,requiresCandidateType,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/AbstractStoreQuery.java,3,1,0,0,0,1,0,0,785,1,1,0,false
1.1.0,isBatchDisabled,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/BatchingPreparedStatementManagerImpl.java,14,5,9,0,0,1,1,0,142,2,5,3,true
2.0.0-M2,next,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/UUIDType4HexSeq.java,4,1,1,0,0,1,0,0,369,1,1,0,false
0.9.7,serializeColumn,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/XMLPersistenceMappingSerializer.java,21,22,1,2,0,0,2,0,317,3,3,0,false
0.9.6,setDataCache,openjpa-kernel/src/main/java/org/apache/openjpa/conf/OpenJPAConfiguration.java,1,1,0,0,0,0,0,0,185,2,5,0,false
0.9.6,setRetryClassRegistration,openjpa-kernel/src/main/java/org/apache/openjpa/conf/OpenJPAConfiguration.java,1,1,0,0,0,0,0,0,185,2,5,0,false
1.0.3,newDataStoreExecutor,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/AbstractStoreQuery.java,3,1,0,0,0,0,0,0,785,1,1,0,false
1.0.2,getClientConnection,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/DistributedStoreManager.java,3,1,0,0,0,0,0,0,1,1,4,0,false
0.9.6,getTable,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/EmbedFieldStrategy.java,3,1,0,0,0,1,0,0,168,3,5,0,false
0.9.7,getSubclassFetchMode,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/JDBCFetchPlanImpl.java,3,1,0,0,0,1,0,1,315,2,4,0,false
0.9.6,serializing,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DetachedValueStateManager.java,3,1,0,0,0,0,0,0,185,2,5,0,false
0.9.0,asExpression,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/InMemoryExpressionFactory.java,3,1,0,0,0,1,0,0,45,3,6,0,false
0.9.6,fetchLongField,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/EmbedFieldStrategy.java,3,1,0,0,0,1,0,0,168,3,5,0,false
2.0.0-M2,initialize,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/CoalesceExpression.java,10,3,6,0,0,1,0,1,218,1,1,0,false
1.2.1,endConfiguration,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceMetaDataFactory.java,4,2,1,0,0,0,0,0,1022,1,1,0,false
0.9.7,processBuffer,openjpa-kernel/src/main/java/org/apache/openjpa/meta/MetaDataRepository.java,25,7,4,0,1,2,2,1,334,3,5,1,false
0.9.6,transactional,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ENonTransState.java,4,2,0,0,0,1,0,0,185,1,2,1,false
0.9.6,getOptimistic,openjpa-kernel/src/main/java/org/apache/openjpa/conf/OpenJPAConfiguration.java,1,1,0,0,0,0,0,0,185,2,5,0,false
0.9.6,refresh,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaTool.java,6,1,2,0,0,0,1,6,168,1,3,0,false
0.9.0,appendTo,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Variable.java,2,1,0,0,0,0,0,0,37,2,3,0,false
