release,method,path,className,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
4.0.0,operationFinished,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java,,6,1,3,0,0,0,0,7,4,1,3,3,false
4.0.0,getMaximumServerRedirects,hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java,,3,1,0,0,0,1,2,0,4,1,2,0,false
4.0.0,inc,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,,4,1,0,0,0,0,8,0,4,1,1,0,false
4.0.0,setClean,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,,3,2,1,0,0,0,2,0,4,2,2,0,false
4.0.0,processResult,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,,15,1,0,0,0,0,0,10,4,2,11,1,false
4.0.0,getTimeoutThreadRunInterval,hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java,,3,1,0,0,0,1,1,0,4,1,2,0,false
4.0.0,readComplete,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,,1,1,0,0,0,0,2,0,4,2,4,0,false
4.0.0,getOpCode,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,,3,1,0,0,0,1,3,0,4,2,3,0,false
4.0.0,asyncMessageConsume,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java,,10,5,1,2,0,0,3,7,4,3,5,3,false
4.0.0,unsetSuccessAndSendWriteRequest,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,,20,6,2,2,0,2,1,2,4,2,3,1,false
4.0.0,getBookieRecoveryDigestType,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java,,3,1,0,0,0,1,1,1,18,2,3,1,false
4.0.0,multinCallback,hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java,,3,1,0,0,0,1,0,1,4,2,3,0,false
4.0.0,consume,hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java,,1,1,0,0,0,0,0,0,4,1,1,0,false
4.0.0,getStats,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,,3,1,0,0,0,1,0,0,4,3,7,0,false
4.0.0,getEntryLogSizeLimit,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,,3,1,0,1,0,1,1,0,18,2,3,0,false
4.0.0,notifyUnsubcribe,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java,,3,2,0,0,0,0,3,1,4,2,3,0,false
4.0.0,setFirstEntry,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,,6,2,1,2,0,0,2,0,4,2,2,0,false
4.0.0,setEntryLogSizeLimit,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,,4,1,0,0,0,1,0,0,18,2,3,0,false
4.0.0,addComplete,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,,1,1,0,0,0,0,5,0,4,2,4,0,false
4.0.0,getCode,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,,3,1,0,0,0,1,0,0,4,2,2,0,false
4.0.0,closeSubscription,hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java,,1,1,0,0,0,0,0,0,4,1,1,0,false
4.0.0,writeComplete,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,,11,3,0,2,0,0,0,6,40,2,5,1,false
4.0.0,processResult,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,,3,1,0,0,0,0,0,1,4,2,7,0,false
4.0.0,isSSLEnabled,hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java,,3,1,0,0,0,1,6,0,4,1,2,0,false
4.0.0,updateSubscriptionState,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java,,1,1,0,0,0,0,2,0,4,2,3,0,false
4.0.0,rollLog,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,,18,3,4,1,1,0,1,0,4,3,13,4,false
4.0.0,validate,hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java,,5,3,0,0,0,0,0,2,4,1,2,1,false
4.0.0,processResult,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,,21,4,3,1,1,1,1,1,4,1,3,1,false
4.0.0,unsubscribe,hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java,,1,1,0,0,0,0,0,0,4,1,1,0,false
4.0.0,getMacCodeLength,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,,3,1,0,0,0,1,0,0,4,1,1,0,false
4.0.0,submitCallback,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,,4,1,0,0,0,0,2,1,4,2,3,1,false
4.0.0,readEntryComplete,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java,,26,8,4,2,1,1,0,3,131,2,5,2,false
